condition_grouper_name,condition_grouper_canonical_url,condition_grouper_version,reporting_spec_grouper_snomed,reporting_spec_grouper_name,reporting_spec_grouper_canonical_url,reporting_spec_grouper_version
Acanthamoeba,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ceef5555-ce1a-42ff-a124-6508eec46658,2.0.0,49649001,Acanthamoeba,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-49649001,20250328
Acute_Flaccid_Myelitis_AFM,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cd811f61-3abc-47ad-8fe5-cc62ee1ceb45,2.0.0,698293005,Acute Flaccid Myelitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-698293005,20250328
Acute_Flaccid_Myelitis_AFM,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cd811f61-3abc-47ad-8fe5-cc62ee1ceb45,2.0.0,47000000,Acute Flaccid Myelitis (AFM),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-47000000,20250328
Acute_Flaccid_Myelitis_AFM,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cd811f61-3abc-47ad-8fe5-cc62ee1ceb45,2.0.0,897031002,Acute Flaccid Myelitis (AFM),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-897031002,20250328
Agricultural_Chemicals_Fertilizer_Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a13c5fc6-8719-4f3b-bb09-3073b2d6b8c6,2.0.0,216809001,Agricultural Chemicals (Fertilizer) Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-216809001,20250328
Alphagal_Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/3196416d-4f94-40ec-bc6f-e7f42772f459,2.0.0,788781001,Alpha-gal Syndrome,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-788781001,20250328
Amebiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/15819c26-779c-43ae-974e-5128875493b6,2.0.0,388759003,Amebiasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-388759003,20250328
Anaplasmosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1ccfa012-62ad-4792-99da-45c38933fa89,2.0.0,13906002,Anaplasmosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-13906002,20250328
Anencephaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c435a017-41e6-4030-b6d1-0bda2eb05b1f,2.0.0,89369001,Anencephaly,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-89369001,20250328
Angiostrongyliasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/6f5ef8a9-2445-4250-9be0-a2f3137d21ed,2.0.0,61750000,Angiostrongyliasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-61750000,20250328
Animal_Bite_Injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/23439cd9-59c7-46e7-80c7-a23bcb9accac,2.0.0,399907009,Animal Bite Injury,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-399907009,20250328
Anophthalmia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/74699941-8d63-4086-83c8-61322fe8908a,2.0.0,7183006,Anophthalmia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-7183006,20250328
Anotia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/743b7389-45ef-4fbd-bba8-cc3bafec9f63,2.0.0,57436000,Anotia,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-57436000,20250328
Anthrax,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/cee10ec6-5f3c-42c8-91af-5bc3f4ab2daf,2.0.0,409498004,Anthrax,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-409498004,20250328
Aortic_valve_stenosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/a8c9a4dd-4db2-4d19-8327-45291b77e383,2.0.0,18546004,Aortic valve stenosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-18546004,20250328
Arboviral_Disease_Other,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ccbc2240-7996-4b24-b2ab-909fb597ade7,2.0.0,40610006,Arboviral Disease [Other],https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-40610006,20250328
Arsenic_Exposure_and_Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/26b33744-0449-42d1-b119-a2960602095a,2.0.0,767146004,Arsenic Exposure and Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-767146004,20250328
Asbestosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/62640327-6e96-4559-8f6b-4d305590a900,2.0.0,22607003,Asbestosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-22607003,20250328
Atrial_septal_defect,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/5aef5efd-6297-4831-803a-65fda1e7cde5,2.0.0,405752007,Atrial septal defect,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-405752007,20250328
Atrioventricular_septal_defect_Endocardial_cushion_defect,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/c1c99860-df66-42cb-8d79-c7304f2691d7,2.0.0,1237074000,Atrioventricular septal defect (Endocardial cushion defect),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-1237074000,20250328
Babesiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ef7e8146-c5e7-405b-8559-9b0f0675f472,2.0.0,21061004,Babesiosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-21061004,20250328
Balamuthia_mandrillaris_Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ad9b43bd-dd5d-4661-9483-e1ff862074ed,2.0.0,115635005,Balamuthia mandrillaris Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-115635005,20250328
Bartonellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/86b5b8ff-e9fe-4aa1-813b-cfd31dc076ba,2.0.0,266123003,Bartonellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-266123003,20250328
Baylisascariasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/82e1bb0e-3c5d-476b-8dc3-f8cd6c8b3841,2.0.0,93614002,Baylisascariasis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-93614002,20250328
Bladder_Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ec438d29-7cb3-44de-8c3a-53fe6f2c9493,2.0.0,61758007,Bladder Exstrophy,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-61758007,20250328
Blastomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/16cc5efb-e136-4909-bc02-6673de5badd1,2.0.0,69996000,Blastomycosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-69996000,20250328
Botulism,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/97cccfa2-2462-46d8-b50c-09ee712f1c30,2.0.0,398565003,Botulism,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-398565003,20250328
Botulism,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/97cccfa2-2462-46d8-b50c-09ee712f1c30,2.0.0,414488002,"Botulism, Infant",https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-414488002,20250328
Brucellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d2b6c97a-c320-4678-9ff0-b55999ec0a16,2.0.0,75702008,Brucellosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-75702008,20250328
Byssinosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/57f2ca46-ed5d-4429-bb8c-46ead0df24fe,2.0.0,85761009,Byssinosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-85761009,20250328
Cadmium_Exposure_and_Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ecc9f56f-0ffd-4af2-9e04-b5530da8209f,2.0.0,3398004,Cadmium Exposure and Toxicity,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-3398004,20250328
California_Serogroup_Virus_Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/78c0b420-682c-4aa6-90c9-8e392e236ff6,2.0.0,418182000,California Serogroup Virus Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-418182000,20250328
Campylobacteriosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/77fd2ab0-9707-453b-8470-01dd6a986aff,2.0.0,86500004,Campylobacteriosis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-86500004,20250328
Cancer,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/94a3796b-fee2-49c0-9b86-8763923f90f7,2.0.0,363346000,Cancer,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-363346000,20250328
Candida_auris_infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ad69000f-6f42-4bcd-bc41-a28f7782b949,2.0.0,3491000146109,Candida auris infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-3491000146109,20250328
Candida_auris_infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/ad69000f-6f42-4bcd-bc41-a28f7782b949,2.0.0,865929003,Candida auris infection,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-865929003,20250328
Carbapenemresistant_Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af28372-3743-4564-bac2-5f8e97affe95,2.0.0,715174007,Carbapenem-resistant Acinetobacter baumannii (CRAB),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-715174007,20250328
Carbapenemresistant_Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af28372-3743-4564-bac2-5f8e97affe95,2.0.0,712662001,Carbapenem-resistant Enterobacteriaceae (CRE),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-712662001,20250328
Carbapenemresistant_Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af28372-3743-4564-bac2-5f8e97affe95,2.0.0,726492000,Carbapenem-resistant Pseudomonas aeruginosa (CRPA),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-726492000,20250328
Carbapenemresistant_Organisms,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/0af28372-3743-4564-bac2-5f8e97affe95,2.0.0,44591000087104,Carbapenem-resistant Enterobacterales (CRE),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-44591000087104,20250328
CarbapenemaseProducing_Organisms_CPO,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f928b2e-edef-477b-bc38-85b22be2093f,2.0.0,734350003,Carbapenemase-Producing Organisms (CPO),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-734350003,20250328
CarbapenemaseProducing_Organisms_CPO,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/9f928b2e-edef-477b-bc38-85b22be2093f,2.0.0,734351004,Carbapenemase-producing Carbapenem-resistant Enterobacteriaceae (CP-CRE),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-734351004,20250328
Carbon_Monoxide_Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/53e8b06e-cdd2-4960-b727-0f8a13ea59b1,2.0.0,17383000,Carbon Monoxide Poisoning,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-17383000,20250328
Catheterassociated_Urinary_Tract_Infection_CAUTI,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/e146ceb9-0496-4faf-929e-c072b3e60c35,2.0.0,700372006,Catheter-associated Urinary Tract Infection (CAUTI),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-700372006,20250328
Central_Lineassociated_Bloodstream_Infection_CLABSI,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/1df299f9-d3f0-4707-a80b-63e2746b8c2d,2.0.0,736152001,Central Line-associated Bloodstream Infection (CLABSI),https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-736152001,20250328
Chagas_Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/67df7ac4-7088-4314-ab8b-e320237eeaba,2.0.0,77506005,Chagas Disease,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-77506005,20250328
Chancroid,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/d647c446-f653-4e09-bc15-42d55c49771f,2.0.0,266143009,Chancroid,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-266143009,20250328
Chemical_Pneumonitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/8f954b53-2f33-464c-ac07-7fc3c70d86e6,2.0.0,233733000,Chemical Pneumonitis,https://tes.tools.aimsplatform.org/api/fhir/ValueSet/rs-grouper-233733000,20250328
